title,company,expreince,location,salary,category,starter
Ruby on Rails Senior Developer,Itransition,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Программист-консультант 1С,Первый Бит,Без опыта,Ташкент,,Software Engineer (General),True
Business development manager,SDC FZE,Опыт 1-3 года,Ташкент,,Project Manager,True
Менеджер продукта,ОООDIGITAL EDGE CONSULT,Опыт 3-6 лет,Ташкент,,Other,False
Specialist at the tender department,ОООGrand Diantus,Опыт 3-6 лет,Ташкент,10 000 000 – 25 000 000so'mна руки,Other,False
Solution Architech,АОOctobank,Опыт 3-6 лет,Ташкент,,IT specialest,False
.Net Middle/Senior Developer,Itransition,Опыт 1-3 года,Ташкент,,Software Engineer (General),True
Руководитель колл-центра,ОООЭкосмарт,Опыт 1-3 года,Ташкент,,Other,True
Senior Business Process Improvement specialist,ОООEPAM Uzbekistan,Опыт 3-6 лет,Ташкент,,Other,False
Manager in FAAS,EY Uzbekistan,Опыт 3-6 лет,Ташкент,,Project Manager,False
UI/UX Designer,ОООGreen White Solutions,Опыт 1-3 года,Ташкент,от1 000$до вычета налогов,Designer,True
Senior UX/UI Designer (fintech),ОООCONSORT TAS,Опыт 3-6 лет,Ташкент,,Designer,False
Senior Manager - Financial Accounting & Advisory Services (FAAS),EY Uzbekistan,Опыт 3-6 лет,Ташкент,,Project Manager,False
Data Engineer (MsSQL/Python/Airflow),Social Discovery Group,Опыт 3-6 лет,Ташкент,,Python,False
"Senior PHP developer, Laravel",ЧП TURON MEDIA,Опыт 3-6 лет,Ташкент,,PHP,False
Программист 1С,ОООLINKTRADE,Опыт более 6 лет,Ташкент,от15 000 000so'mдо вычета налогов,Software Engineer (General),False
D365 Business Central Middle Functional Consultant,Itransition,Опыт 3-6 лет,Ташкент,,Other,False
Business Development Manager (BDM) / Менеджер по развитию бизнеса (HQ Servers),FC LLC ASBC ENTITY,Опыт 1-3 года,Ташкент,,Project Manager,True
Solution Architect (главный специалист),АО Асакабанк,Без опыта,Ташкент,,IT specialest,True
Technical Translator,ОООUET CONSTRUCTION,Опыт 3-6 лет,Ташкент,,Other,False
Начальник управления разработки,АО Асакабанк,Опыт 3-6 лет,Ташкент,,Other,False
Lead Solution Architect,АО Асакабанк,Опыт 3-6 лет,Ташкент,,IT specialest,False
Системный аналитик,ОООFULL STACK SOLUTION,Опыт более 6 лет,Ташкент,,Data/Analytics,False
QA инженер,ОООUNITEL LLC,Опыт 1-3 года,Ташкент,,QA/Testing,True
Technical Office assistant,ОООUET CONSTRUCTION,Без опыта,Ташкент,,Other,True
Системный аналитик (System Analyst),ОООUNITEL LLC,Опыт 1-3 года,Ташкент,,Data/Analytics,True
QA engineer Middle+,IMAN CAPITAL LTD,Опыт 3-6 лет,Ташкент,,QA/Testing,False
QA Engineer (Middle/Senior) A-Pay (работа в офисе),АОCENTER FOR DIGITAL TECHNOLOGY AND INNOVATION,Опыт 3-6 лет,Ташкент,,QA/Testing,False
Odoo Analyst,Itransition,Опыт 1-3 года,Ташкент,,Data/Analytics,True
Dean of the Faculty of Accounting and Finance,ОООMILLAT UMIDI UNIVERSITY,Опыт 3-6 лет,Ташкент,,Other,False
Odoo Consultant-Analyst,Itransition,Опыт 1-3 года,Ташкент,,Data/Analytics,True
Trade Marketing Manager at HONOR Uzbekistan,Honor,Опыт 1-3 года,Ташкент,,Marketing,True
IT Project Manager (Middle/Senior) A-Pay (работа в офисе),АОCENTER FOR DIGITAL TECHNOLOGY AND INNOVATION,Опыт 3-6 лет,Ташкент,,Project Manager,False
DPP Audit/Assurance Manager,АОООО «KPMG AUDIT»,Опыт более 6 лет,Ташкент,,Project Manager,False
Специалист по экстренным обращениям со знанием английского и русского языков,"Облачные, инфраструктурные сервисы и Яндекс 360",Без опыта,Ташкент,,Other,True
"Executive, Fixed Assets and Real Estate, Deal Advisory",АОООО «KPMG AUDIT»,Опыт 1-3 года,Ташкент,,Other,True
"Executive 1-3, Debt & PPP/Deal Advisory Department",АОООО «KPMG AUDIT»,Опыт 1-3 года,Ташкент,,Other,True
Менеджер по работе с ключевыми клиетами,MEDICE Arzneimittel Pütter GmbH & Co. KG в Узбекистане,Опыт 3-6 лет,Ташкент,,Other,False
Audit Supervisor,АОООО «KPMG AUDIT»,Опыт 3-6 лет,Ташкент,,IT specialest,False
"Associate 3 / Manager, Debt&PPP group, Deal Advisory department",АОООО «KPMG AUDIT»,Опыт более 6 лет,Ташкент,,Project Manager,False
Audit Manager,АОООО «KPMG AUDIT»,Опыт более 6 лет,Ташкент,,Project Manager,False
Программист 1С/Разработчик,ОООABSOFT,Опыт 1-3 года,Ташкент,4 000 000 – 10 000 000so'mдо вычета налогов,Software Engineer (General),True
Программист 1С,ОООRED BUTTON,Опыт 3-6 лет,Ташкент,от5 000 000so'mдо вычета налогов,Software Engineer (General),False
Программист 1С (middle),ОООLEADING BUSINESS SOFTWARE,Опыт 1-3 года,Ташкент,,Software Engineer (General),True
FullStack (WordPress) Developer,ОООWEB THEMES DEVELOPMENT,Опыт 1-3 года,Ташкент,1 000 – 2 000$на руки,Software Engineer (General),True
Учитель по программированию,ОООINNOGROUP,Опыт 1-3 года,Ташкент,5 000 000 – 20 000 000so'mна руки,Other,True
Фронтенд разработчик,ОООYANO EDUCATION,Без опыта,Ташкент,2 000 000 – 10 000 000so'mна руки,Software Engineer (General),True
Инженер-программист,ОООФид энд фуд,Без опыта,Ташкент,,Software Engineer (General),True
Full Stack программист,ОООGTROBOTPRO,Опыт 3-6 лет,Ташкент,1 000 – 2 000$на руки,Software Engineer (General),False
Программист,ОООGrand Diantus,Опыт 3-6 лет,Ташкент,от400$до вычета налогов,Software Engineer (General),False
Frontend-разработчик,ОООINNOVATION TEXNO SERVICE,Опыт 1-3 года,Ташкент,300 – 400$на руки,Frontend,True
Разработчик мобильных приложений (iOS & Android),ОООFides Solutions,Опыт 1-3 года,Ташкент,8 000 000 – 10 000 000so'mна руки,Software Engineer (General),True
Консультант 1С,ОООFides Solutions,Опыт 1-3 года,Ташкент,7 000 000 – 15 000 000so'mна руки,Other,True
Менеджер по Проектам (Стажер),Micros Development,Опыт 1-3 года,Ташкент,3 000 000 – 6 000 000so'mдо вычета налогов,Other,True
Electrical Design Engineer for Data Center (Low Voltage Distribution Systems),ОООTECHENERGO Engineering Services,Опыт более 6 лет,Ташкент,,Engineer,False
Affiliate Manager (Chinese),ОООMODERN TECH PLANET,Опыт 1-3 года,Ташкент,от2 500$на руки,Project Manager,True
Academic support specialist,ОООFounders Group,Опыт 1-3 года,Ташкент,2 500 000 – 6 000 000so'mна руки,Other,True
UX/UI-дизайнер в сфере игр,ОООDaromad Dasturi,Опыт 3-6 лет,Ташкент,,Designer,False
Overseas Sales Support Engineer,"Jiangsu Kaiyi Intelligent Technology Co., Ltd",Опыт 1-3 года,Ташкент,500 – 600$до вычета налогов,Sales,True
Офис-менеджер (стажер),Micros Development,Опыт 1-3 года,Ташкент,4 000 000 – 6 000 000so'mдо вычета налогов,Other,True
After-sales manager,Runking Motor Co. Ltd.,Опыт 3-6 лет,Ташкент,,Sales,False
Marketing department intern,ОООPRIME ANHOR,Без опыта,Ташкент,100 – 200$на руки,Marketing,True
Менеджер по продажам,ОООФид энд Фактори,Опыт 3-6 лет,Ташкент,,Sales,False
Python-разработчик,ОООMUSAIT TECH,Опыт 1-3 года,Ташкент,4 000 000 – 6 000 000so'mдо вычета налогов,Python,True
HR&Administration specialist,ОООPRIME ANHOR,Опыт 1-3 года,Ташкент,3 000 000 – 6 000 000so'mна руки,HR/Recruiter,True
Менеджер по продажам,ОООChilon Lubricants,Опыт 1-3 года,Ташкент,до15 000 000so'mна руки,Sales,True
Middle PHP Developer,Alif Uzbekistan,Опыт 1-3 года,Ташкент,,PHP,True
Manual QA тестировщик,IOTA (OOO BEFORMED),Опыт 1-3 года,Ташкент,5 000 000 – 10 000 000so'mна руки,QA/Testing,True
Оператор call-центра,ОООREALSOFT,Без опыта,Ташкент,3 000 000 – 7 000 000so'mдо вычета налогов,Other,True
Project Manager,Alif Uzbekistan,Опыт 1-3 года,Ташкент,,Project Manager,True
Junior Procurement Assistant,ОООAlfa Line(ТМ Encompass Consulting),Без опыта,Ташкент,от3 000 000so'mна руки,Other,True
Менеджер по продажам услуг,MCHJ TIRGO LOG,Опыт 3-6 лет,Ташкент,5 000 000 – 10 000 000so'mна руки,Sales,False
QA тестировщик,ОООZORDOC,Опыт 3-6 лет,Ташкент,,QA/Testing,False
Business Development Manager (BDM) – Специалист по коммерциализации проекта,ОООNatural Ventures Tashkent,Опыт более 6 лет,Ташкент,20 000 000 – 25 000 000so'mдо вычета налогов,Project Manager,False
M&A advisor,Bakht Asset Management LLC,Опыт 3-6 лет,Ташкент,,Other,False
Junior Accounting Specialist (Logistics),ОООMY FLEET SOLUTIONS,Опыт 1-3 года,Ташкент,от350$на руки,Other,True
Dispatcher,ОООMY FLEET SOLUTIONS,Опыт 1-3 года,Ташкент,,Other,True
Администратор (офис),ОООGREENLEAF DEVELOPMENT,Опыт 1-3 года,Ташкент,,Other,True
Cafe Manager,ОООRASSYSTEMS,Опыт 1-3 года,Ташкент,550 – 620$на руки,Project Manager,True
Assistant Barista,ОООRASSYSTEMS,Опыт 1-3 года,Ташкент,300 – 350$на руки,Other,True
FrontEnd программист - специалист 1ой категории (VUE.JS фреймворк),АОУзбекнефтегаз,Опыт 1-3 года,Ташкент,5 000 000 – 6 000 000so'mна руки,Frontend,True
Fullstack Разработчик (PHP и/или .Net),Corporate Solutions Group,Опыт 3-6 лет,Ташкент,,PHP,False
Senior Golang Developer,IOTA (OOO BEFORMED),Опыт 3-6 лет,Ташкент,до3 500$на руки,golang,False
Front end Developer (React / Vue),Corporate Solutions Group,Опыт 3-6 лет,Ташкент,,Frontend,False
Продавец в магазине,ОООGREENLEAF DEVELOPMENT,Опыт 1-3 года,Ташкент,,Other,True
Специалист по охране окружающей среды (эколог),ОООGLOBAL DEVELOPMENT ANALITICS,Опыт более 6 лет,Ташкент,8 000 000 – 12 000 000so'mна руки,Other,False
Специалист по социальный защите (социолог),ОООGLOBAL DEVELOPMENT ANALITICS,Опыт более 6 лет,Ташкент,8 000 000 – 12 000 000so'mна руки,Other,False
Младший специалист службы поддержки пользователей,Kundalik,Опыт 1-3 года,Ташкент,от5 000 000so'mна руки,Other,True
Менеджер по продажам в IT-компанию,ОООAIVA Group,Без опыта,Ташкент,от6 000 000so'mдо вычета налогов,Sales,True
English Main Teacher / IELTS Instructor,ОООHOY « MITTIVINE»,Опыт 1-3 года,Ташкент,4 000 000 – 15 000 000so'mна руки,Other,True
Financial and Management Accountant,ИПOOO Novugen Pharma,Опыт 3-6 лет,Ташкент,,Other,False
Brand Manager (Oncology and critical care therapy),ОООПредставительство «HETERO LABS LIMITED» в Республике Узбекистан,Опыт 1-3 года,Ташкент,10 000 000 – 14 000 000so'mна руки,Marketing,True
.Net Developer (Middle),ОООTafakkur Group,Опыт 1-3 года,Ташкент,,Software Engineer (General),True
Digital-маркетолог,ОООWEB THEMES DEVELOPMENT,Опыт 1-3 года,Ташкент,1 500 – 2 500$на руки,Marketing,True
IT директор,ОООBRB-TECH,Опыт 3-6 лет,Ташкент,,IT specialest,False
Node.js (Middle+),ОООKSG INFINITE,Опыт 3-6 лет,Ташкент,,node.js,False
QA Engineer,ОООTafakkur Group,Опыт 1-3 года,Ташкент,,QA/Testing,True
Специалист по мониторингу и корректировке данных,ОООKSG INFINITE,Без опыта,Ташкент,6 500 000 – 9 500 000so'mна руки,Other,True
VFX artist,ОООNeoTech,Опыт 1-3 года,Ташкент,,Other,True
WordPress разработчик,ОООPROSIGHT DEV,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Middle Flutter разработчик,NASIROV SH. S. (BOTAN),Опыт 1-3 года,Ташкент,,Mobile Developer,True
Middle Go разработчик,NASIROV SH. S. (BOTAN),Опыт 1-3 года,Ташкент,,golang,True
Middle React Native разработчик,NASIROV SH. S. (BOTAN),Опыт 1-3 года,Ташкент,,Frontend,True
Frontend-разработчик,ОООDIONYSOS,Опыт 1-3 года,Ташкент,,Frontend,True
C# expert (strong middle or senior C# developer),ОООSynel Software Development,Опыт 3-6 лет,Ташкент,до2 500$на руки,Software Engineer (General),False
C# developer,ОООSynel Software Development,Без опыта,Ташкент,от800$на руки,Software Engineer (General),True
Главный бухгалтер,ИП ООО Beautymall,Опыт 3-6 лет,Ташкент,от1 000$до вычета налогов,Other,False
Automation QA engineer (C#+Selenium),ОООSynel Software Development,Без опыта,Ташкент,от800$на руки,QA/Testing,True
Go Developer (Fraud Protection),ОООCONSORT TAS,Опыт 3-6 лет,Ташкент,3 000 – 4 500$на руки,golang,False
Video Editor,"ОООMusaffa Financial Solutions, LLC",Опыт 1-3 года,Ташкент,,IT specialest,True
Junior Equity Research Analyst,"ОООMusaffa Financial Solutions, LLC",Опыт 1-3 года,Ташкент,,Data/Analytics,True
Фронт-энд разработчик,Appsolute Media,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Project Manager,ОООZeppelin Central Asia Machinery,Опыт 3-6 лет,Ташкент,,Project Manager,False
Мобильный разработчик (React Native),ОООBCLOUDS,Опыт 1-3 года,Ташкент,,Frontend,True
Senior Graphic Designer,"ОООMusaffa Financial Solutions, LLC",Опыт 3-6 лет,Ташкент,,Designer,False
Fronted-разработчик / Верстальщик,iCORP,Опыт 1-3 года,Ташкент,4 000 000 – 7 000 000so'mна руки,Software Engineer (General),True
Учитель математики,НОУ SAR SHI SAR BABY,Опыт более 6 лет,Ташкент,3 000 000 – 6 000 000so'mдо вычета налогов,Other,False
Sales Manager,ОООFULL STOCK GROUP,Опыт 1-3 года,Ташкент,6 000 000 – 70 000 000so'mдо вычета налогов,Sales,True
Traditional and Digital Art Teacher,НОУ Canadian International School of Tashkent,Опыт 3-6 лет,Ташкент,,IT specialest,False
Back-end разработчик,ОООСтраховая компания INSON,Опыт 1-3 года,Ташкент,,Backend,True
Менеджер по продажам,ОООЦЕНТР ПРОГРАММИСТОВ BE PRO,Опыт 1-3 года,Ташкент,5 000 000 – 20 000 000so'mдо вычета налогов,Sales,True
Backend-разработчик,ОООBESH TECHNOLOGIES,Опыт 1-3 года,Ташкент,5 000 000 – 15 000 000so'mна руки,Backend,True
Business Development Manager,El-milano extensions,Опыт 1-3 года,Ташкент,600 – 3 000$до вычета налогов,Project Manager,True
Frontend-разработчик,ОООVODIY SOFT HUB,Опыт 1-3 года,Ташкент,,Frontend,True
Brand(Sales) Manager Networking Products,ОООELCORE DISTRIBUTION CA,Опыт 1-3 года,Ташкент,,Sales,True
Финансовый директор (CFO),ОООMultichannel Group Management,Опыт более 6 лет,Ташкент,,Other,False
Brand(Sales) Manager VAD (HPE/Hitachi/Supermicro),ОООELCORE DISTRIBUTION CA,Опыт 3-6 лет,Ташкент,,Sales,False
Brand (Sales) ManagerSoft,ОООELCORE DISTRIBUTION CA,Опыт 3-6 лет,Ташкент,,Sales,False
Frontend разработчик,ИП ООО ONEVIZION CA,Опыт 3-6 лет,Ташкент,2 500 – 3 500$на руки,Frontend,False
Python-разработчик,ОООBuynow,Опыт 3-6 лет,Ташкент,от1 500$на руки,Python,False
Java Разработчик,ИП ООО ONEVIZION CA,Опыт 3-6 лет,Ташкент,3 000 – 3 700$на руки,Java Developer,False
Backend-разработчик,ОООINNASOFT DIGITAL SERVICE,Опыт 3-6 лет,Ташкент,от10 000 000so'mдо вычета налогов,Backend,False
Backend Laravel разработчик (senior),ОООSTEM,Опыт 3-6 лет,Ташкент,от15 000 000so'mна руки,Backend,False
Frontend Developer Middle+ (Vue.js),ОООANYSOFT,Опыт 3-6 лет,Ташкент,10 000 000 – 15 000 000so'mдо вычета налогов,Frontend,False
Python Developer Middle+,ОООANYSOFT,Опыт 3-6 лет,Ташкент,10 000 000 – 15 000 000so'mдо вычета налогов,Python,False
Project Manager в IT компанию,ОООPRIMEX-SERVICES,Опыт 3-6 лет,Ташкент,от700$до вычета налогов,Project Manager,False
Консультант 1C (ERP/КА),EFSOL,Опыт 3-6 лет,Ташкент,от600$на руки,Other,False
Backend Laravel разработчик (middle),ОООSTEM,Опыт 1-3 года,Ташкент,от10 000 000so'mна руки,Backend,True
Менеджер отдела маркетинга и рекламы,ОООPULMAN,Опыт 1-3 года,Ташкент,от8 000 000so'mна руки,Marketing,True
Lead Mining Engineer,ОООWorleyParsons Uzbekistan Engineering,Опыт 3-6 лет,Ташкент,,Engineer,False
Budget analyst / accountant,ОООПосольство соединенных штатов Америки,Опыт 3-6 лет,Ташкент,от1 870$до вычета налогов,Data/Analytics,False
OFFICE MANAGER,ОООMultimodal Trans Terminal,Опыт 1-3 года,Ташкент,8 000 000 – 9 000 000so'mдо вычета налогов,Project Manager,True
Backend developer (PHP/Laravel),ОООEast-Metprokat,Опыт 3-6 лет,Ташкент,,Backend,False
PHP - разработчик,ОООDIONYSOS,Опыт 1-3 года,Ташкент,,PHP,True
Flutter-разработчик,ОООBESH TECHNOLOGIES,Опыт 1-3 года,Ташкент,5 000 000 – 10 000 000so'mна руки,Mobile Developer,True
Sales Representative (Urdu),ОООMODERN TECH PLANET,Опыт 1-3 года,Ташкент,от750$на руки,Sales,True
Менеджер продукта,ОООMEGA LIFESCIENCES PUBLIC COMPANY LIMITED,Опыт 1-3 года,Ташкент,,Other,True
Менеджер технической поддержки,ОООSMARTBOX ENTERPRISE SOLUTIONS,Без опыта,Ташкент,,Other,True
Фронтенд-разработчик в компанию NEURO PULSE,NEURO PULSE,Опыт 1-3 года,Ташкент,400 – 700$на руки,Software Engineer (General),True
Backend-разработчик,ОООPROJECTS (GK Consulting),Опыт 1-3 года,Ташкент,до1 000$на руки,Backend,True
Главный бухгалтер,ОООU-BSSYS,Опыт 3-6 лет,Ташкент,,Other,False
Python Developer (Remote),ОООУайтСнейк,Опыт 1-3 года,Ташкент,,Python,True
"Маркетолог, Контент-мейкер, СММ-менеджер",ОООElephant Group,Опыт 1-3 года,Ташкент,от10 000 000so'mна руки,Marketing,True
Менеджер по продажам специальной и сельхозтехники,ОООZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY,Опыт 3-6 лет,Ташкент,6 000 000 – 8 000 000so'mдо вычета налогов,Sales,False
SEO-специалист/маркетолог,ОООELECTRONICS AUTOMATION GROUP,Опыт 1-3 года,Ташкент,,Marketing,True
IT специалист по e-commerce и автоматизация,ОООGENER POWER,Опыт 1-3 года,Ташкент,3 000 000 – 10 000 000so'mна руки,IT specialest,True
Chief Officer on Student Welfare,ОООPharmaceutical Technical University,Опыт 3-6 лет,Ташкент,,Other,False
Engineering Project Coordinator,ОООJuru,Опыт 1-3 года,Ташкент,,Engineer,True
Head of HRM Department,ОООPharmaceutical Technical University,Опыт 3-6 лет,Ташкент,,HR/Recruiter,False
Chief Marketing Officer,ОООPharmaceutical Technical University,Опыт 3-6 лет,Ташкент,,Marketing,False
AI/ML Engineer (Стажёр),YATT YULDASHEV PULAT BAXTIYOROVICH,Без опыта,Ташкент,,Engineer,True
Специалист технической поддержки,ОООSAPFORIS,Опыт 3-6 лет,Ташкент,,Other,False
IT Project Manager (Middle+),ОООANYSOFT,Опыт 3-6 лет,Ташкент,10 000 000 – 15 000 000so'mдо вычета налогов,Project Manager,False
Head of Marketing Department,Globbing,Опыт 3-6 лет,Ташкент,до20 800 000so'mна руки,Marketing,False
Primary School Teacher Assistant,ОООWestminster International School in Tashkent,Опыт 1-3 года,Ташкент,,Other,True
Оператор call-центра (БЕЗ ПРОДАЖ),ОООAIVA Group,Без опыта,Ташкент,от4 000 000so'mдо вычета налогов,Sales,True
Руководитель колл-центра,ОООECO TORG,Опыт 1-3 года,Ташкент,,Other,True
Менеджер по персоналу,ОООWeWork Group,Опыт 3-6 лет,Ташкент,от1 000$до вычета налогов,HR/Recruiter,False
Графический дизайнер с AI-навыками,P & A shoe,Опыт 1-3 года,Ташкент,500 – 1 200$до вычета налогов,Designer,True
Вакансия: UX/UI дизайнер (Figma),ОООMEGABITE-CRM,Опыт 1-3 года,Ташкент,4 000 000 – 6 000 000so'mна руки,Designer,True
Java Developer - Middle,ОООNOMADIAN,Опыт 1-3 года,Ташкент,от12 000 000so'mдо вычета налогов,Java Developer,True
Receptionist,ОООHITC,Опыт 1-3 года,Ташкент,4 000 000 – 4 000 000so'mна руки,Other,True
"Специалист по развитию территории (Sales Development Executive), проект Philip Morris International",Philip Morris International,Опыт 1-3 года,Ташкент,8 000 000 – 10 500 000so'mдо вычета налогов,Sales,True
We are hiring an Android Developer for the Testbor.com project!,ОООTESTBOR,Опыт 3-6 лет,Ташкент,от2 000$на руки,Mobile Developer,False
Специалист по техники безопасности в строительстве,ООО“Ko’zgu Muhabbat” (B.INVEST Development),Опыт 1-3 года,Ташкент,от5 000 000so'mдо вычета налогов,Other,True
.Net developer (Middle+/Senior),ОООWEBASE,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Бизнес ассистент основателя агентствы,ОООSNDCT,Без опыта,Ташкент,3 000 000 – 6 000 000so'mна руки,Other,True
Frontend-разработчик Vue,"O'ZBEKISTON RESPUBLIKASI INVESTITSIYALAR, SANOAT VA SAVDO VAZIRLIGI QOSHIDAGI RAQAMLASHTIRISH MARKAZI MCHJ",Опыт 1-3 года,Ташкент,400 – 500$до вычета налогов,Frontend,True
Middle Backend Developer(Go/Python),NASIROV SH. S. (BOTAN),Опыт 1-3 года,Ташкент,,Backend,True
Тьютор (Наставник) КиберШколы,ОООKiber1,Без опыта,Ташкент,,Other,True
Flutter разработчик / Flutter Developer (middle),ОООTafakkur Group,Опыт 1-3 года,Ташкент,,Mobile Developer,True
QC инженер,т.м AB.Digital (ООО Bazis Digital),Без опыта,Ташкент,8 000 000 – 14 000 000so'mна руки,Engineer,True
Технический архитектор/ведущий программист 1С/программист 1С,ОООAMEGA ITS,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
IT Project manager,ОООWEBASE,Опыт 3-6 лет,Ташкент,,Project Manager,False
Investment banking analyst,ABRAU Capital,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
Communications specialist,SUEZ INTERNATIONAL SAS,Опыт 3-6 лет,Ташкент,,Other,False
Программист фрезерных станков ЧПУ,ОООAKFA BUILDING MATERIALS. Производство,Опыт 1-3 года,Ташкент,5 000 000 – 8 000 000so'mна руки,Software Engineer (General),True
Бизнес-Аналитик (банковское программное обеспечение),ОООCS FINSOFT,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
Project Coordinator (Energy Sector),ОООSMEC TASHKENT,Опыт 3-6 лет,Ташкент,,Other,False
Technical Sales Manager for Cement Industry,ZAB Zementanlagenbau GmbH Dessau,Опыт 3-6 лет,Ташкент,,Sales,False
React Native Mobile App Developer,ОООIMANTECH,Опыт 1-3 года,Ташкент,,Frontend,True
Strong Junior Flutter-разработчик,ОООDAMDA SAYYOH,Опыт 1-3 года,Ташкент,300 – 600$на руки,Mobile Developer,True
Travel Consultant,ОООWeWork Group,Без опыта,Ташкент,,Other,True
Функциональный архитектор/ ведущий консультант 1С / бизнес-аналитик 1С,ОООAMEGA ITS,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
HR specialist,KT&G Corporation,Опыт 3-6 лет,Ташкент,,HR/Recruiter,False
Руководитель проектов,АССОЦИАЦИЯ IT ALLIANCE SWS,Опыт 3-6 лет,Ташкент,10 000 000 – 10 000 000so'mна руки,Other,False
Менеджер тех.поддержки,ОООSMARTBOX ENTERPRISE SOLUTIONS,Без опыта,Ташкент,,Other,True
Project Manager / Менеджер проекта в ИТ,ОООTafakkur Group,Опыт 1-3 года,Ташкент,,Project Manager,True
Hostess,ОООHITC,Опыт 1-3 года,Ташкент,3 500 000 – 4 000 000so'mна руки,Other,True
B2B Team Leader,ОООHR CAPITAL CONSULTING,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Шеф-повар,ОООGP Development,Опыт 1-3 года,Ташкент,от20 000 000so'mдо вычета налогов,Other,True
Early Years Teacher,ОООТашкентская Международная Школа,Опыт 3-6 лет,Ташкент,,Other,False
UX/UI designer (FIGMA),ОООTafakkur Group,Опыт 1-3 года,Ташкент,,Designer,True
HR manager,Runking Motor Co. Ltd.,Опыт 1-3 года,Ташкент,10 000 000 – 12 000 000so'mдо вычета налогов,HR/Recruiter,True
